sep=,
DeviceTag:,Xsens DOT7
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-17_11:42:38_431 GMT+8
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
16127,1801401308,29.661152,-29.059896,-63.447670,7.530530,-1.133607,0.109268,9.020130,-78.223747,-23.430206
16128,1801417975,30.707319,-29.395605,-63.979633,7.481198,-0.907064,2.023401,48.663975,-32.790424,-12.771705
16129,1801434642,31.768440,-29.247267,-64.419609,6.248070,0.330209,4.928890,52.142887,-5.641121,-23.109234
16130,1801451309,33.445202,-29.235703,-65.508987,6.737138,-1.080198,6.824921,70.010468,-31.428541,-47.219692
16131,1801467976,37.255795,-29.794844,-68.068604,5.738763,-1.095785,9.289511,154.206924,-105.920479,-88.402756
16132,1801484643,43.540222,-31.593813,-72.731316,4.379712,-0.876313,11.889341,235.268112,-239.297134,-112.102867
16133,1801501310,51.476608,-33.494907,-78.347664,3.591555,-1.902150,12.955902,295.733795,-287.689331,-106.646591
16134,1801517977,59.633583,-34.864853,-83.850479,0.874441,-1.512571,16.115553,304.763977,-272.919098,-85.554527
16135,1801534644,68.741661,-35.900173,-89.795525,-1.389964,-1.640425,15.975193,340.711761,-290.052826,-69.558800
16136,1801551311,79.656166,-36.039928,-96.799583,-3.501974,0.441038,14.472544,408.630005,-330.820007,-83.378662
16137,1801567978,91.945572,-34.924992,-104.348587,-6.363654,2.484740,12.532532,474.888702,-364.342072,-92.471497
16138,1801584645,104.101540,-32.888138,-110.913780,-9.177761,2.765790,9.746471,510.228363,-342.285065,-74.087158
16139,1801601312,114.785828,-30.946505,-115.493050,-11.519019,4.085174,5.669426,496.842133,-260.204712,-30.973803
16140,1801617979,125.642097,-28.650496,-119.602348,-10.723135,4.920371,-2.851364,530.046692,-255.826599,-10.120244
16141,1801634646,137.531555,-24.604094,-123.674332,-10.081057,3.881186,-7.939484,604.954285,-326.323456,-35.344883
16142,1801651313,147.692780,-20.798634,-126.279610,-10.173274,2.635210,-12.143574,550.796814,-270.746521,-22.831760
16143,1801667980,155.429230,-18.736288,-127.932137,-8.371901,1.099203,-15.164021,432.471741,-154.902206,24.346504
16144,1801684647,161.807129,-17.574457,-129.453903,-4.891505,-1.210894,-17.382633,356.174164,-98.207947,56.593845
16145,1801701314,167.528229,-15.834162,-129.906189,-0.236723,-2.303934,-19.437479,337.455200,-109.292877,-1.356179
16146,1801717981,172.900085,-13.299054,-129.543594,2.257701,-3.152941,-22.169981,329.728699,-148.059097,-45.443321
16147,1801734648,176.194214,-11.820047,-129.083435,3.974575,-5.105551,-24.848152,205.594604,-87.482216,-34.098488
16148,1801751315,177.066864,-12.074571,-129.165695,7.764947,-6.141670,-26.810131,53.214672,13.258421,6.869841
16149,1801767982,175.911743,-12.842125,-128.925949,11.021583,-5.654592,-30.258585,-64.448563,45.136406,-10.067716
16150,1801784649,172.541183,-13.609293,-127.526573,11.102385,-3.466047,-29.852970,-181.401489,52.376419,-75.598457
16151,1801801316,167.932129,-13.776202,-124.973396,7.798679,0.011084,-27.192228,-238.754181,33.527298,-143.932205
16152,1801817983,162.808670,-12.733704,-121.664276,3.486364,3.978869,-23.314516,-260.384003,-13.231121,-201.754837
16153,1801834650,158.009338,-10.360469,-118.130745,-1.725134,6.135314,-20.068903,-243.987030,-65.956184,-242.383179
