PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
82,1533979293,-70.845108,-47.666012,76.095726,0.94545,-0.499756,0.60321,198.022247,142.997238,-121.130234
83,1533995960,-64.04245,-48.655933,71.45195,0.214216,-0.506009,1.193152,201.200226,149.707413,-126.127518
84,1534012627,-57.999905,-49.25349,67.105934,-0.993798,-0.615673,2.730687,166.529297,133.270447,-114.379814
85,1534029294,-54.439098,-49.628056,64.231529,-1.776924,-0.24193,4.369164,83.244164,81.463791,-81.157333
86,1534045961,-53.354107,-50.141018,62.96759,-1.631589,0.020802,5.270936,7.632734,21.946856,-53.798775
87,1534062628,-53.646435,-50.92963,62.744747,-1.210558,0.117643,4.581169,-27.438129,-20.836388,-43.219372
88,1534079295,-54.202522,-51.985508,62.865402,-0.222672,-0.093789,3.265673,-27.357281,-40.567226,-48.655735
89,1534095962,-54.286427,-53.324131,62.60257,0.517267,-0.194903,1.921627,-17.249966,-38.803864,-70.880646
90,1534112629,-53.696987,-54.905197,61.783913,0.752535,0.015955,0.496168,-4.098174,-32.079903,-93.791634
91,1534129296,-52.132103,-56.544315,60.175198,1.129274,0.332847,-0.739288,14.474525,-15.480976,-111.357468
92,1534145963,-49.658466,-58.126141,57.59602,1.31741,0.697098,-1.890375,18.495731,5.506618,-126.417938
93,1534162630,-46.695534,-59.409615,54.244659,0.916818,0.833824,-2.697092,6.198406,27.014053,-126.938164
94,1534179297,-43.788307,-60.35796,50.769062,0.102284,1.394196,-3.527256,-5.594786,34.978901,-114.040749
95,1534195964,-40.817669,-61.046463,47.105949,0.192381,1.741192,-3.814725,-13.131845,42.597713,-107.196465
96,1534212631,-36.974075,-61.323891,42.972042,-0.147758,2.517756,-4.989917,13.526151,62.889359,-103.209007
97,1534229298,-32.314262,-61.021534,38.603298,-0.016365,2.976778,-5.468379,50.073063,87.545319,-93.206032
98,1534245965,-26.600887,-59.694542,33.900013,-0.356921,3.456617,-5.353521,97.506447,138.727737,-81.726074
99,1534262632,-20.702173,-57.203293,29.627562,-1.087213,3.343938,-4.99645,135.230011,191.500519,-62.068981
